"","extGene","wt.group","tgfb.group","shZ.group","CA1a.group"
"754","ANXA2P2",5,4,4,2
"755","ANXA2P3",2,4,5,2
"756","ANXA2R",5,4,5,4
"757","ANXA3",3,4,7,5
"758","ANXA4",7,5,4,6
"759","ANXA5",1,5,4,5
"760","ANXA6",4,4,4,5
"761","ANXA7",1,3,2,6
"762","ANXA8",5,4,6,5
"763","ANXA8L2",3,4,6,2
"764","ANXA9",4,7,5,7
"765","AOAH",2,6,6,2
"766","AOAH-IT1",3,6,1,7
"767","AOC2",5,4,4,6
"768","AOC3",3,4,6,7
"769","AOC4",6,5,1,3
"770","AOX1",3,4,4,5
"771","AP1AR",1,7,2,5
"772","AP1B1",1,3,1,1
"773","AP1B1P1",3,5,5,6
"774","AP1G1",1,7,4,7
"775","AP1G2",1,7,2,1
"776","AP1M1",5,1,2,4
"777","AP1M2",4,7,2,7
"778","AP1S1",6,3,3,3
"779","AP1S2",6,5,7,6
"780","AP1S3",7,5,2,5
"781","AP2A1",6,2,3,3
"782","AP2A2",5,4,6,5
"783","AP2B1",1,1,7,4
"784","AP2M1",3,1,6,1
"785","AP2S1",1,1,4,1
"786","AP3B1",1,1,4,4
"787","AP3B2",5,4,6,6
"788","AP3D1",7,3,1,3
"789","AP3M1",6,7,2,1
"790","AP3M2",5,5,6,5
"791","AP3S1",4,2,2,5
"792","AP4B1",4,7,5,7
"793","AP4B1-AS1",2,6,6,2
"794","AP4E1",6,7,4,1
"795","AP4M1",4,1,2,7
"796","AP4S1",3,4,1,1
"797","AP5B1",5,4,1,5
"798","AP5M1",6,1,7,4
